- M = 1.20 Mo
- log q(H) = -10.0
- log q(He) = -6.0
- X(O) = 0.50
- X(Ne) = 0.030
- Full distillation
 
    t (Gyr)     Teff      log g        R/Ro      log L/Lo
  --------------------------------------------------------
   0.000000   68000.99   9.004913   0.00570139  -0.204937
   0.000100   66757.24   9.006709   0.00568961  -0.238800
   0.000186   65247.00   9.008055   0.00568080  -0.279897
   0.000282   63524.04   9.009285   0.00567276  -0.327617
   0.000393   61770.35   9.010453   0.00566514  -0.377417
   0.000526   60064.32   9.011569   0.00565787  -0.427187
   0.000686   58490.17   9.012613   0.00565107  -0.474366
   0.000886   57056.45   9.013600   0.00564465  -0.518465
   0.001142   55767.37   9.014541   0.00563854  -0.559105
   0.001479   54622.17   9.015451   0.00563264  -0.596060
   0.001930   53610.45   9.016340   0.00562687  -0.629427
   0.002541   52709.23   9.017211   0.00562123  -0.659749
   0.003360   51884.13   9.018074   0.00561565  -0.688020
   0.004434   51096.11   9.018944   0.00561003  -0.715477
   0.005800   50312.26   9.019832   0.00560430  -0.743221
   0.007485   49512.20   9.020730   0.00559851  -0.771965
   0.009471   48702.51   9.021608   0.00559285  -0.801487
   0.011755   47885.09   9.022447   0.00558745  -0.831730
   0.014349   47061.23   9.023240   0.00558235  -0.862671
   0.017281   46231.40   9.024009   0.00557741  -0.894345
   0.020552   45402.32   9.024755   0.00557262  -0.926527
   0.024164   44578.08   9.025477   0.00556799  -0.959076
   0.028135   43759.20   9.026175   0.00556352  -0.991982
   0.032454   42949.65   9.026838   0.00555927  -1.025084
   0.037105   42154.17   9.027468   0.00555525  -1.058190
   0.042106   41371.20   9.028072   0.00555138  -1.091365
   0.047472   40600.00   9.028661   0.00554762  -1.124641
   0.053195   39842.81   9.029234   0.00554396  -1.157919
   0.059325   39095.06   9.029802   0.00554033  -1.191399
   0.065785   38366.82   9.030360   0.00553678  -1.224621
   0.072652   37650.25   9.030906   0.00553330  -1.257919
