- M = 1.15 Mo
- log q(H) = -10.0
- log q(He) = -6.0
- X(O) = 0.50
- X(Ne) = 0.025
- Partial distillation
 
    t (Gyr)     Teff      log g        R/Ro      log L/Lo
  --------------------------------------------------------
   0.000000   66001.03   8.886453   0.00639689  -0.156818
   0.000100   65028.39   8.889042   0.00637785  -0.185198
   0.000172   63902.49   8.890580   0.00636657  -0.217076
   0.000252   62451.01   8.892013   0.00635608  -0.258423
   0.000339   60874.50   8.893351   0.00634629  -0.304177
   0.000437   59258.33   8.894621   0.00633702  -0.352191
   0.000550   57652.29   8.895838   0.00632814  -0.401140
   0.000684   56086.20   8.897011   0.00631961  -0.450154
   0.000845   54597.66   8.898129   0.00631148  -0.498001
   0.001040   53211.84   8.899188   0.00630378  -0.543723
   0.001282   51934.07   8.900195   0.00629648  -0.586953
   0.001588   50766.76   8.901153   0.00628954  -0.627403
   0.001983   49708.42   8.902066   0.00628294  -0.664914
   0.002499   48751.73   8.902940   0.00627662  -0.699547
   0.003179   47881.40   8.903788   0.00627049  -0.731689
   0.004070   47074.48   8.904633   0.00626439  -0.762059
   0.005224   46303.68   8.905489   0.00625822  -0.791595
   0.006683   45544.10   8.906355   0.00625199  -0.821194
   0.008483   44779.30   8.907219   0.00624577  -0.851478
   0.010609   44013.85   8.908044   0.00623984  -0.882254
   0.013067   43247.38   8.908830   0.00623420  -0.913558
   0.015866   42481.47   8.909586   0.00622878  -0.945355
   0.019025   41717.12   8.910319   0.00622352  -0.977630
   0.022562   40954.91   8.911037   0.00621837  -1.010382
   0.026484   40197.66   8.911737   0.00621337  -1.043501
   0.030787   39448.74   8.912406   0.00620859  -1.076841
   0.035467   38710.70   8.913049   0.00620399  -1.110293
   0.040512   37986.66   8.913672   0.00619954  -1.143716
   0.045950   37273.57   8.914280   0.00619520  -1.177244
   0.051802   36570.11   8.914879   0.00619093  -1.210942
   0.058039   35881.23   8.915473   0.00618670  -1.244571
   0.064658   35207.58   8.916054   0.00618256  -1.278078
   0.071709   34544.46   8.916621   0.00617852  -1.311676
   0.079163   33894.83   8.917166   0.00617466  -1.345200
   0.086981   33261.45   8.917679   0.00617101  -1.378482
   0.095239   32638.73   8.918162   0.00616758  -1.411797
   0.103919   32029.33   8.918620   0.00616433  -1.444996
   0.112984   31436.12   8.919057   0.00616123  -1.477909
   0.122505   30855.30   8.919481   0.00615821  -1.510730
   0.132502   30286.59   8.919899   0.00615525  -1.543465
   0.143050   29727.22   8.920318   0.00615228  -1.576269
   0.154124   29179.26   8.920729   0.00614937  -1.609000
   0.165763   28641.33   8.921126   0.00614657  -1.641721
   0.177906   28117.47   8.921508   0.00614386  -1.674171
   0.190719   27601.35   8.921883   0.00614121  -1.706729
   0.204077   27099.26   8.922249   0.00613863  -1.738986
   0.218041   26608.55   8.922611   0.00613607  -1.771094
   0.232700   26128.28   8.922977   0.00613348  -1.803101
   0.248118   25656.05   8.923336   0.00613094  -1.835145
   0.264120   25197.83   8.923684   0.00612849  -1.866798
   0.281130   24742.57   8.924024   0.00612609  -1.898812
   0.298827   24299.26   8.924349   0.00612380  -1.930544
   0.317105   23870.73   8.924654   0.00612165  -1.961759
   0.336409   23447.60   8.924956   0.00611952  -1.993131
   0.356675   23032.75   8.925262   0.00611737  -2.024446
   0.377931   22626.24   8.925567   0.00611522  -2.055686
   0.400035   22231.33   8.925866   0.00611311  -2.086572
   0.423411   21841.32   8.926159   0.00611105  -2.117611
   0.447556   21464.48   8.926435   0.00610911  -2.148122
   0.472978   21093.03   8.926695   0.00610728  -2.178707
   0.499525   20730.06   8.926946   0.00610551  -2.209112
   0.527115   20377.09   8.927193   0.00610378  -2.239192
   0.556113   20029.95   8.927438   0.00610206  -2.269286
   0.586578   19688.86   8.927678   0.00610038  -2.299364
   0.618225   19357.49   8.927910   0.00609874  -2.329082
   0.651444   19032.38   8.928136   0.00609716  -2.358732
   0.686367   18712.82   8.928346   0.00609568  -2.388357
   0.722782   18401.25   8.928536   0.00609435  -2.417715
   0.760741   18097.78   8.928711   0.00609312  -2.446778
   0.801479   17794.15   8.928882   0.00609192  -2.476341
   0.843946   17499.26   8.929051   0.00609074  -2.505540
   0.888775   17209.60   8.929224   0.00608952  -2.534709
   0.935265   16930.19   8.929408   0.00608824  -2.563328
   0.983417   16660.95   8.929602   0.00608688  -2.591370
   1.033603   16399.68   8.929801   0.00608548  -2.619027
   1.086332   16144.10   8.930004   0.00608406  -2.646516
   1.140676   15898.56   8.930200   0.00608269  -2.673336
   1.196820   15661.84   8.930386   0.00608138  -2.699582
   1.286820   15324.77   8.930638   0.00607962  -2.737630
   1.376820   15070.99   8.930817   0.00607837  -2.766817
   1.466820   14917.93   8.930934   0.00607755  -2.784668
   1.556820   14822.47   8.931020   0.00607695  -2.795905
