- M = 1.00 Mo
- log q(H) = -10.0
- log q(He) = -6.0
- X(O) = 0.50
- X(Ne) = 0.025
- No distillation
 
    t (Gyr)     Teff      log g        R/Ro      log L/Lo
  --------------------------------------------------------
   0.000000   57001.02   8.605004   0.00824792  -0.190740
   0.000100   56834.36   8.607869   0.00822076  -0.198691
   0.000174   56440.36   8.609493   0.00820540  -0.212400
   0.000263   55698.69   8.611088   0.00819035  -0.236974
   0.000365   54651.36   8.612756   0.00817464  -0.271618
   0.000476   53436.52   8.614379   0.00815937  -0.312292
   0.000597   52124.34   8.615951   0.00814463  -0.357054
   0.000730   50774.40   8.617461   0.00813048  -0.404148
   0.000879   49415.24   8.618919   0.00811685  -0.452741
   0.001047   48072.84   8.620320   0.00810376  -0.501987
   0.001239   46761.88   8.621668   0.00809120  -0.551366
   0.001462   45490.03   8.622965   0.00807912  -0.600565
   0.001724   44264.49   8.624211   0.00806754  -0.649255
   0.002039   43089.88   8.625411   0.00805640  -0.697175
   0.002416   41986.60   8.626551   0.00804583  -0.743374
   0.002873   40955.20   8.627640   0.00803575  -0.787670
   0.003435   39994.21   8.628683   0.00802611  -0.829960
   0.004134   39099.92   8.629686   0.00801685  -0.870248
   0.005008   38266.32   8.630656   0.00800790  -0.908655
   0.006107   37484.50   8.631595   0.00799924  -0.945454
   0.007482   36743.59   8.632505   0.00799087  -0.981044
   0.009189   36032.11   8.633389   0.00798274  -1.015896
   0.011281   35339.59   8.634255   0.00797479  -1.050474
   0.013779   34664.40   8.635097   0.00796706  -1.084828
   0.016695   34005.17   8.635916   0.00795955  -1.119001
   0.020062   33356.05   8.636717   0.00795222  -1.153284
   0.023872   32719.99   8.637496   0.00794508  -1.187509
   0.028147   32094.44   8.638259   0.00793811  -1.221806
   0.032893   31479.23   8.639001   0.00793133  -1.256170
   0.038123   30873.51   8.639718   0.00792478  -1.290640
   0.043800   30281.87   8.640411   0.00791847  -1.324946
   0.049937   29702.86   8.641079   0.00791237  -1.359152
   0.056564   29133.95   8.641728   0.00790647  -1.393396
   0.063695   28574.37   8.642358   0.00790074  -1.427717
   0.071273   28028.15   8.642963   0.00789523  -1.461851
   0.079326   27493.40   8.643546   0.00788993  -1.495898
   0.087870   26969.64   8.644112   0.00788480  -1.529877
   0.096877   26458.64   8.644660   0.00787983  -1.563656
   0.106412   25957.19   8.645196   0.00787496  -1.597431
   0.116505   25464.62   8.645724   0.00787018  -1.631240
   0.127091   24984.44   8.646239   0.00786552  -1.664826
   0.138208   24515.10   8.646738   0.00786100  -1.698269
   0.149848   24057.53   8.647222   0.00785662  -1.731483
   0.162093   23608.92   8.647694   0.00785235  -1.764655
   0.175001   23168.38   8.648157   0.00784816  -1.797840
   0.188652   22734.00   8.648614   0.00784403  -1.831177
   0.202871   22312.34   8.649072   0.00783990  -1.864157
   0.217748   21901.59   8.649532   0.00783575  -1.896896
   0.233361   21499.02   8.649990   0.00783162  -1.929581
   0.249737   21104.43   8.650435   0.00782761  -1.962206
   0.266797   20719.83   8.650858   0.00782379  -1.994579
