- M = 1.15 Mo
- log q(H) = -10.0
- log q(He) = -6.0
- X(O) = 0.50
- X(Ne) = 0.040
- Full distillation
 
    t (Gyr)     Teff      log g        R/Ro      log L/Lo
  --------------------------------------------------------
   0.000000   66000.97   8.893584   0.00634459  -0.163950
   0.000100   65013.13   8.896104   0.00632621  -0.192667
   0.000173   63863.86   8.897625   0.00631514  -0.225172
   0.000254   62393.43   8.899042   0.00630485  -0.267054
   0.000342   60806.98   8.900366   0.00629524  -0.313120
   0.000442   59182.77   8.901626   0.00628612  -0.361412
   0.000558   57574.52   8.902832   0.00627740  -0.410478
   0.000696   56009.36   8.903993   0.00626901  -0.459519
   0.000861   54534.69   8.905095   0.00626106  -0.506971
   0.001062   53164.93   8.906137   0.00625355  -0.552204
   0.001313   51905.35   8.907129   0.00624642  -0.594848
   0.001632   50757.67   8.908073   0.00623963  -0.634635
   0.002045   49719.33   8.908974   0.00623317  -0.671440
   0.002587   48781.36   8.909837   0.00622697  -0.705389
   0.003302   47926.43   8.910680   0.00622093  -0.736948
   0.004238   47129.83   8.911524   0.00621489  -0.766908
   0.005446   46363.59   8.912380   0.00620877  -0.796240
   0.006968   45603.89   8.913245   0.00620259  -0.825806
   0.008835   44836.06   8.914105   0.00619645  -0.856163
   0.011019   44070.00   8.914919   0.00619065  -0.886914
   0.013546   43299.88   8.915698   0.00618510  -0.918319
   0.016421   42529.99   8.916449   0.00617975  -0.950236
   0.019661   41761.72   8.917178   0.00617456  -0.982633
   0.023273   40998.08   8.917890   0.00616950  -1.015404
   0.027256   40242.65   8.918578   0.00616462  -1.048399
   0.031615   39496.32   8.919234   0.00615997  -1.081576
   0.036354   38760.55   8.919867   0.00615548  -1.114875
   0.041485   38035.59   8.920482   0.00615112  -1.148290
   0.047001   37323.32   8.921082   0.00614688  -1.181729
   0.052932   36621.25   8.921674   0.00614269  -1.215309
   0.059266   35932.57   8.922261   0.00613854  -1.248876
   0.066033   35255.06   8.922840   0.00613445  -1.282522
   0.073185   34593.68   8.923398   0.00613051  -1.315979
   0.080764   33944.40   8.923935   0.00612672  -1.349430
   0.088730   33310.56   8.924441   0.00612315  -1.382681
   0.097120   32689.60   8.924916   0.00611981  -1.415845
   0.105932   32082.80   8.925365   0.00611664  -1.448844
   0.115226   31487.19   8.925799   0.00611359  -1.481831
   0.125051   30901.24   8.926222   0.00611061  -1.514886
   0.135290   30332.53   8.926635   0.00610770  -1.547568
   0.146070   29775.17   8.927048   0.00610480  -1.580199
   0.157529   29223.61   8.927457   0.00610193  -1.613089
   0.169502   28686.08   8.927849   0.00609917  -1.645732
   0.182061   28160.87   8.928228   0.00609651  -1.678212
   0.195300   27644.97   8.928600   0.00609390  -1.710703
   0.209029   27146.15   8.928960   0.00609138  -1.742695
   0.223565   26654.39   8.929321   0.00608885  -1.774814
   0.238999   26168.62   8.929687   0.00608628  -1.807132
   0.254918   25701.14   8.930038   0.00608382  -1.838796
   0.271639   25243.24   8.930379   0.00608143  -1.870367
   0.289410   24789.60   8.930713   0.00607910  -1.902202
   0.307933   24348.35   8.931031   0.00607687  -1.933720
   0.327475   23914.51   8.931336   0.00607474  -1.965258
   0.348249   23485.33   8.931640   0.00607261  -1.997021
   0.369814   23070.93   8.931944   0.00607049  -2.028251
   0.392405   22666.91   8.932247   0.00606837  -2.059246
   0.416392   22268.17   8.932549   0.00606626  -2.090378
   0.441369   21882.01   8.932839   0.00606424  -2.121057
   0.467607   21504.44   8.933115   0.00606231  -2.151570
   0.495274   21133.45   8.933373   0.00606051  -2.182059
   0.524686   20766.83   8.933625   0.00605875  -2.212713
   0.555288   20412.08   8.933872   0.00605703  -2.242891
