- M = 1.15 Mo
- log q(H) = -10.0
- log q(He) = -6.0
- X(O) = 0.50
- X(Ne) = 0.030
- No distillation
 
    t (Gyr)     Teff      log g        R/Ro      log L/Lo
  --------------------------------------------------------
   0.000000   66000.94   8.888821   0.00637947  -0.159189
   0.000100   65023.21   8.891387   0.00636065  -0.187682
   0.000172   63888.63   8.892920   0.00634944  -0.219794
   0.000252   62430.81   8.894348   0.00633901  -0.261320
   0.000340   60848.86   8.895682   0.00632928  -0.307240
   0.000439   59231.57   8.896948   0.00632006  -0.355303
   0.000553   57623.47   8.898163   0.00631123  -0.404333
   0.000688   56059.23   8.899331   0.00630275  -0.453310
   0.000850   54575.20   8.900443   0.00629468  -0.501030
   0.001047   53194.72   8.901497   0.00628705  -0.546591
   0.001292   51923.06   8.902498   0.00627981  -0.589625
   0.001603   50762.32   8.903452   0.00627292  -0.629854
   0.002004   49710.71   8.904360   0.00626636  -0.667128
   0.002528   48760.34   8.905231   0.00626008  -0.701532
   0.003219   47895.27   8.906078   0.00625398  -0.733475
   0.004126   47091.94   8.906922   0.00624791  -0.763703
   0.005297   46322.81   8.907778   0.00624175  -0.793166
   0.006777   45563.30   8.908644   0.00623553  -0.822751
   0.008599   44797.55   8.909506   0.00622934  -0.853057
   0.010749   44030.75   8.910329   0.00622345  -0.883872
   0.013230   43263.17   8.911112   0.00621784  -0.915207
   0.016053   42496.63   8.911865   0.00621245  -0.947015
   0.019257   41727.01   8.912602   0.00620719  -0.979500
   0.022815   40965.44   8.913317   0.00620208  -1.012214
   0.026762   40208.45   8.914012   0.00619711  -1.045310
   0.031095   39458.99   8.914678   0.00619236  -1.078662
   0.035797   38721.89   8.915318   0.00618780  -1.112060
   0.040891   37995.19   8.915940   0.00618337  -1.145593
   0.046350   37283.55   8.916544   0.00617907  -1.179043
   0.052226   36581.40   8.917140   0.00617484  -1.212667
   0.058475   35895.03   8.917730   0.00617065  -1.246160
   0.065198   35215.08   8.918314   0.00616649  -1.279967
   0.072254   34555.58   8.918876   0.00616251  -1.313371
   0.079754   33906.08   8.919418   0.00615867  -1.346875
   0.087633   33271.95   8.919929   0.00615504  -1.380183
   0.095934   32650.26   8.920408   0.00615165  -1.413430
   0.104747   32036.19   8.920868   0.00614839  -1.446872
   0.113956   31438.68   8.921306   0.00614529  -1.480017
   0.123639   30853.56   8.921732   0.00614228  -1.513078
   0.133914   30275.47   8.922155   0.00613929  -1.546359
   0.144587   29716.17   8.922573   0.00613633  -1.579170
   0.155851   29165.67   8.922984   0.00613343  -1.612064
   0.167636   28628.11   8.923378   0.00613065  -1.644776
   0.179954   28104.02   8.923759   0.00612796  -1.677253
   0.192888   27590.49   8.924131   0.00612534  -1.709662
   0.206374   27090.99   8.924494   0.00612278  -1.741762
   0.220631   26598.27   8.924858   0.00612021  -1.774012
   0.235539   26117.47   8.925223   0.00611764  -1.806066
   0.251207   25646.21   8.925580   0.00611512  -1.838056
