- M = 1.00 Mo
- log q(H) = -6.0
- log q(He) = -3.0
- X(O) from Bauer (2023)
- X(Ne) = 0.030
- Partial distillation
 
    t (Gyr)     Teff      log g        R/Ro      log L/Lo
  --------------------------------------------------------
   0.000000   60001.17   8.586824   0.00842237  -0.083451
   0.000100   59890.25   8.590415   0.00838762  -0.090257
   0.000178   59486.38   8.592913   0.00836354  -0.104508
   0.000266   58742.08   8.595165   0.00834188  -0.128633
   0.000363   57750.51   8.597284   0.00832156  -0.160326
   0.000467   56606.89   8.599293   0.00830233  -0.197082
   0.000580   55381.41   8.601210   0.00828402  -0.237020
   0.000705   54114.02   8.603053   0.00826647  -0.279080
   0.000844   52838.25   8.604815   0.00824971  -0.322287
   0.001003   51566.21   8.606513   0.00823360  -0.366318
   0.001185   50318.86   8.608139   0.00821821  -0.410481
   0.001399   49093.19   8.609710   0.00820336  -0.454890
   0.001652   47912.32   8.611207   0.00818923  -0.498684
   0.001953   46781.06   8.612632   0.00817581  -0.541618
   0.002314   45717.07   8.613981   0.00816312  -0.582933
   0.002753   44715.36   8.615264   0.00815107  -0.622702
   0.003291   43780.09   8.616486   0.00813961  -0.660645
   0.003959   42906.76   8.617655   0.00812866  -0.696818
   0.004792   42090.12   8.618778   0.00811816  -0.731323
   0.005832   41319.86   8.619859   0.00810806  -0.764490
   0.007121   40587.01   8.620902   0.00809834  -0.796619
   0.008701   39878.67   8.621913   0.00808891  -0.828216
   0.010572   39196.11   8.622891   0.00807981  -0.859184
   0.012731   38532.87   8.623836   0.00807102  -0.889776
   0.015171   37884.48   8.624758   0.00806246  -0.920178
   0.017889   37245.92   8.625661   0.00805408  -0.950611
   0.020872   36615.35   8.626548   0.00804586  -0.981161
   0.024094   35994.51   8.627413   0.00803785  -1.011734
   0.027550   35381.35   8.628251   0.00803010  -1.042419
   0.031233   34775.56   8.629065   0.00802258  -1.073234
   0.035140   34177.01   8.629857   0.00801527  -1.104187
