- M = 1.00 Mo
- log q(H) = -10.0
- log q(He) = -6.0
- X(O) = 0.50
- X(Ne) = 0.040
- Full distillation
 
    t (Gyr)     Teff      log g        R/Ro      log L/Lo
  --------------------------------------------------------
   0.000000   57000.99   8.610012   0.00820051  -0.195748
   0.000100   56825.72   8.612840   0.00817384  -0.203926
   0.000175   56421.08   8.614456   0.00815866  -0.217956
   0.000264   55665.71   8.616042   0.00814377  -0.242957
   0.000366   54610.81   8.617694   0.00812830  -0.277845
   0.000477   53388.14   8.619305   0.00811324  -0.318791
   0.000598   52077.24   8.620857   0.00809875  -0.363531
   0.000732   50723.69   8.622359   0.00808476  -0.410781
   0.000881   49367.79   8.623800   0.00807135  -0.459291
   0.001050   48027.09   8.625190   0.00805846  -0.508510
   0.001244   46712.08   8.626532   0.00804601  -0.558081
   0.001470   45439.73   8.627821   0.00803408  -0.607343
   0.001736   44219.90   8.629054   0.00802268  -0.655849
   0.002055   43052.57   8.630240   0.00801174  -0.703509
   0.002437   41957.05   8.631368   0.00800134  -0.749413
   0.002902   40933.70   8.632444   0.00799143  -0.793386
   0.003475   39980.64   8.633475   0.00798195  -0.835342
   0.004188   39094.06   8.634467   0.00797284  -0.875290
   0.005082   38267.49   8.635428   0.00796403  -0.913373
   0.006205   37491.57   8.636357   0.00795551  -0.949889
   0.007612   36755.16   8.637258   0.00794726  -0.985251
   0.009357   36046.57   8.638135   0.00793925  -1.019944
   0.011491   35355.68   8.638993   0.00793141  -1.054421
   0.014033   34681.99   8.639827   0.00792379  -1.088677
   0.016997   34023.00   8.640640   0.00791638  -1.122815
   0.020414   33373.95   8.641434   0.00790914  -1.157069
   0.024290   32735.84   8.642211   0.00790208  -1.191382
   0.028621   32110.04   8.642968   0.00789519  -1.225670
   0.033409   31496.42   8.643700   0.00788854  -1.259921
   0.038662   30894.26   8.644407   0.00788212  -1.294161
   0.044386   30303.38   8.645092   0.00787591  -1.328394
   0.050590   29723.50   8.645755   0.00786990  -1.362621
   0.057282   29154.29   8.646397   0.00786408  -1.396853
   0.064452   28596.56   8.647019   0.00785845  -1.431030
   0.072105   28049.74   8.647619   0.00785303  -1.465169
   0.080216   27515.83   8.648194   0.00784783  -1.499129
   0.088837   26992.06   8.648753   0.00784278  -1.533075
   0.098015   26476.41   8.649300   0.00783784  -1.567129
   0.107653   25974.71   8.649830   0.00783306  -1.600893
   0.117847   25482.53   8.650352   0.00782836  -1.634648
   0.128566   25002.03   8.650862   0.00782376  -1.668226
   0.139861   24530.88   8.651357   0.00781930  -1.701771
   0.151700   24071.58   8.651837   0.00781499  -1.735084
   0.164134   23622.29   8.652304   0.00781079  -1.768281
   0.177163   23184.03   8.652758   0.00780670  -1.801268
   0.190846   22754.95   8.653205   0.00780269  -1.834167
   0.205189   22335.98   8.653655   0.00779864  -1.866901
   0.220269   21926.16   8.654110   0.00779456  -1.899526
   0.236182   21522.76   8.654564   0.00779049  -1.932238
   0.252699   21131.76   8.655001   0.00778657  -1.964524
   0.270152   20745.69   8.655421   0.00778280  -1.996975
   0.288455   20367.01   8.655815   0.00777927  -2.029372
   0.307368   20001.01   8.656181   0.00777600  -2.061238
   0.327334   19639.99   8.656536   0.00777282  -2.093236
   0.348230   19286.96   8.656880   0.00776974  -2.125090
   0.369975   18943.86   8.657212   0.00776677  -2.156604
   0.393037   18604.51   8.657541   0.00776383  -2.188333
   0.416837   18277.35   8.657858   0.00776100  -2.219471
   0.442314   17950.42   8.658173   0.00775819  -2.251140
   0.468519   17635.81   8.658469   0.00775554  -2.282152
   0.495949   17327.71   8.658755   0.00775299  -2.313056
   0.524856   17024.12   8.659035   0.00775049  -2.344041
   0.554916   16729.09   8.659309   0.00774805  -2.374685
   0.586204   16442.27   8.659579   0.00774563  -2.404998
   0.618812   16163.18   8.659848   0.00774324  -2.435006
   0.653076   15889.25   8.660106   0.00774094  -2.464958
   0.689048   15620.72   8.660352   0.00773874  -2.494814
   0.726682   15358.55   8.660588   0.00773664  -2.524453
   0.766292   15101.24   8.660818   0.00773459  -2.554034
   0.806997   14854.50   8.661040   0.00773262  -2.582874
   0.849725   14612.94   8.661261   0.00773065  -2.611577
   0.894681   14376.18   8.661487   0.00772864  -2.640179
   0.939479   14155.97   8.661710   0.00772666  -2.667217
   0.985254   13945.57   8.661931   0.00772469  -2.693451
   1.029612   13754.16   8.662138   0.00772285  -2.717667
   1.069684   13590.62   8.662319   0.00772124  -2.738627
   1.104755   13454.23   8.662472   0.00771988  -2.756303
   1.139200   13326.15   8.662617   0.00771859  -2.773064
   1.172365   13207.93   8.662750   0.00771741  -2.788677
   1.206506   13091.21   8.662880   0.00771625  -2.804227
   1.239720   12982.12   8.662999   0.00771520  -2.818882
   1.273849   12874.38   8.663113   0.00771419  -2.833473
   1.310191   12764.30   8.663226   0.00771318  -2.848504
   1.345187   12662.47   8.663329   0.00771227  -2.862521
   1.381041   12562.14   8.663430   0.00771137  -2.876441
   1.417533   12464.00   8.663528   0.00771050  -2.890164
   1.455884   12364.97   8.663626   0.00770963  -2.904120
   1.498111   12260.51   8.663730   0.00770871  -2.918962
   1.542163   12156.29   8.663834   0.00770778  -2.933896
   1.588922   12050.56   8.663943   0.00770682  -2.949180
   1.636193   11948.42   8.664052   0.00770585  -2.964075
   1.685585   11846.40   8.664166   0.00770484  -2.979086
   1.736287   11746.31   8.664284   0.00770379  -2.993944
   1.786699   11651.09   8.664404   0.00770273  -3.008203
   1.839185   11556.14   8.664529   0.00770162  -3.022543
   1.894077   11461.09   8.664659   0.00770047  -3.037020
   1.952267   11364.66   8.664794   0.00769927  -3.051834
   2.012458   11269.13   8.664930   0.00769806  -3.066634
   2.075629   11173.13   8.665067   0.00769685  -3.081633
   2.143598   11074.19   8.665207   0.00769561  -3.097225
   2.214340   10975.66   8.665344   0.00769440  -3.112886
   2.304340   10857.40   8.665500   0.00769301  -3.131863
   2.394340   10753.50   8.665630   0.00769186  -3.148696
   2.484340   10669.62   8.665734   0.00769095  -3.162404
   2.574340   10605.52   8.665815   0.00769023  -3.172952
   2.664340   10565.90   8.665871   0.00768955  -3.179494
   2.754340   10546.95   8.665906   0.00768923  -3.182647
   2.844340   10533.51   8.665936   0.00768897  -3.184893
   2.934340   10521.13   8.665965   0.00768871  -3.186965
   3.024340   10509.28   8.665993   0.00768847  -3.188950
   3.114340   10498.33   8.666020   0.00768822  -3.190789
   3.204340   10493.32   8.666042   0.00768803  -3.191639
   3.294340   10488.71   8.666063   0.00768785  -3.192424
   3.384340   10481.35   8.666087   0.00768764  -3.193666
   3.474340   10472.08   8.666112   0.00768741  -3.195229
   3.564340   10460.97   8.666140   0.00768717  -3.197101
   3.654340   10452.83   8.666165   0.00768695  -3.198478
   3.744340   10446.21   8.666188   0.00768674  -3.199602
   3.834340   10439.63   8.666211   0.00768654  -3.200719
